,blockNumber,timeStamp,hash,nonce,blockHash,from,contractAddress,to,value,tokenName,tokenSymbol,tokenDecimal,transactionIndex,gas,gasPrice,gasUsed,cumulativeGasUsed,input,confirmations
1134,14354708,1646857607,0xd78bcbd1c45de98c66dd2c426ec5a300ad9a9050dc0c846cf2c38520abf57c5e,146,0xc05bf569b3e3527b6b14dde861c81d48d3b96833b1a7dc302e119ad085aa9fcc,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x21d6dcaa3239905981277239c6117e9c863c2087,14600000000000000000000000,Chedda Token,CHEDDA,18,388,57619,58761760408,38413,21671696,deprecated,251344
1158,14354791,1646858624,0x3d5f565116ceec1a3362be6b6b5abb85e1519e2a2a70118f6b33182a6db48b3c,147,0x7b4fa2bf683ab90291d1452d529d5b9224fda128162113102c658ec43b2c6589,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x3250c2b7d730488d51c005db808126d855b373c1,100000000000000000000000000,Chedda Token,CHEDDA,18,196,83269,31678340569,55513,21197046,deprecated,251261
1382,14356346,1646878922,0xa4947c2e34a3add5ee904c0024003bfbc0663484d7954e57143d3d8240da8c60,148,0x7f78daeca6c6031a839c0a20675b2c09e1cf033c60af2c4aeea87cd9f23625c8,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0xb6e6eddf05a4733ca94cae280ebcab0e6b1f2ae7,50000000000000000000000,Chedda Token,CHEDDA,18,199,83269,42137303755,55513,15886866,deprecated,249706
1837,14360639,1646936154,0xc672b525c519211c741783c85e6b917a766a68c7f898bb112ed77983215de57f,149,0xcc402e31cd338b81a38b605bb2a356a0f8117e4711b20801d57593be7a89480e,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x48cfb650544b6628778a28d3a44a8de5ae0c1589,1000000000000000000000,Chedda Token,CHEDDA,18,52,57601,45641699627,38401,7087779,deprecated,245413
1841,14360682,1646936677,0xe7a27b1d93cde0317d11c33b8c3fcb6fdf0c5bbdba01efc2d98972e5c58f3220,150,0xb81c9eeaafa6a1185cafe593022ccba464297e1b6d605478a45fc9920e87c675,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x48cfb650544b6628778a28d3a44a8de5ae0c1589,1500000000000000000000000000,Chedda Token,CHEDDA,18,102,57637,33621306301,38425,6519249,deprecated,245370
8155,14329490,1646517752,0x93a8ca38b7e7386f1e2b6e6f24fa33f5387742c1c0d2a2c6fc60ad727328faaa,129,0x1a51610cf0a4f86db3bd0f3be31fd47fa142982c668bdeb15cf66cfbbbd56fbe,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,100000000000000000000000000,Chedda Token,CHEDDA,18,109,57295,51851453194,38197,10190266,deprecated,276562
8384,14329718,1646521174,0x475e14d0205ec6f899b56ced50f309eb70597f0c1be60acd296e08f078e71e5f,130,0xe9f0d4ea18ec5d6e81d5465e826b63921610afb8c8e5a760e4322e6adce923a0,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,100000000000000000000000000,Chedda Token,CHEDDA,18,226,57295,44555514890,38197,24073579,deprecated,276334
8646,14329961,1646524533,0x672eaa98a25a987e835ab8def6ba91128476b2cc491c936f6ac95f7b64e23ab6,131,0x5c5b1052fa2d9ff4a52fbce15d9d5e73cfa2d0b75ba2b519eec28afdb3dcdf5a,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,100000000000000000000000000,Chedda Token,CHEDDA,18,119,57295,36845424150,38197,11237372,deprecated,276091
8761,14330222,1646528118,0xe386e8141d563b0b1e2fbb080df9afafb8df0143e0fd7aff169db28c6a99a955,132,0xd0500ae727e5b226a7f7dde4e227fd5ec0b7e88740421703d88285d2db355ab1,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,100000000000000000000000000,Chedda Token,CHEDDA,18,223,57295,23421530460,38197,24171959,deprecated,275830
8875,14330510,1646531846,0xa7a69c3dce6fbaf456e3dcd960371627cb4dbe3d269b6519bc7c8cef7f3544a4,136,0x6c943218bbba374455b698fb05b2ae284a8920a13ec2c23ff02a87b212afa541,0x763cfa5b0eb7bb2e54100010c5a8fc44d1dde714,0x16756ec1deb89a2106c35e0b586a799d0a61837d,0x000000000000000000000000000000000000dead,100000000000000000000000000,Chedda Token,CHEDDA,18,209,57295,34274216080,38197,12317702,deprecated,275542
